label,entity,voting,ownerCount,rofr,dragTag,sectionCount,paragraphs,h3,h4,tabs,pageBreaks,numbered,tables,rFontsRuns,bodyLen
M_C-Corp_unanimous_rofrY_dtY_banktwo_1own,C-Corp,unanimous,1,true,true,77,408,65,2,210,1,76,1,91,475567
M_C-Corp_unanimous_rofrY_dtY_banktwo_2own,C-Corp,unanimous,2,true,true,77,412,65,2,210,1,76,1,92,478944
M_C-Corp_unanimous_rofrY_dtY_banktwo_3own,C-Corp,unanimous,3,true,true,77,418,65,2,217,1,76,1,93,483599
M_C-Corp_unanimous_rofrY_dtY_bankone_1own,C-Corp,unanimous,1,true,true,77,408,65,2,210,1,76,1,91,475567
M_C-Corp_unanimous_rofrY_dtY_bankone_2own,C-Corp,unanimous,2,true,true,77,412,65,2,210,1,76,1,92,478944
M_C-Corp_unanimous_rofrY_dtY_bankone_3own,C-Corp,unanimous,3,true,true,77,418,65,2,217,1,76,1,93,483599
M_C-Corp_unanimous_rofrY_dtN_banktwo_1own,C-Corp,unanimous,1,true,false,77,406,65,2,210,1,76,1,91,470436
M_C-Corp_unanimous_rofrY_dtN_banktwo_2own,C-Corp,unanimous,2,true,false,77,410,65,2,210,1,76,1,92,473813
M_C-Corp_unanimous_rofrY_dtN_banktwo_3own,C-Corp,unanimous,3,true,false,77,416,65,2,217,1,76,1,93,478468
M_C-Corp_unanimous_rofrY_dtN_bankone_1own,C-Corp,unanimous,1,true,false,77,406,65,2,210,1,76,1,91,470436
M_C-Corp_unanimous_rofrY_dtN_bankone_2own,C-Corp,unanimous,2,true,false,77,410,65,2,210,1,76,1,92,473813
M_C-Corp_unanimous_rofrY_dtN_bankone_3own,C-Corp,unanimous,3,true,false,77,416,65,2,217,1,76,1,93,478468
M_C-Corp_unanimous_rofrN_dtY_banktwo_1own,C-Corp,unanimous,1,false,true,74,401,62,2,208,1,73,1,91,460642
M_C-Corp_unanimous_rofrN_dtY_banktwo_2own,C-Corp,unanimous,2,false,true,74,405,62,2,208,1,73,1,92,464019
M_C-Corp_unanimous_rofrN_dtY_banktwo_3own,C-Corp,unanimous,3,false,true,74,411,62,2,215,1,73,1,93,468674
M_C-Corp_unanimous_rofrN_dtY_bankone_1own,C-Corp,unanimous,1,false,true,74,401,62,2,208,1,73,1,91,460642
M_C-Corp_unanimous_rofrN_dtY_bankone_2own,C-Corp,unanimous,2,false,true,74,405,62,2,208,1,73,1,92,464019
M_C-Corp_unanimous_rofrN_dtY_bankone_3own,C-Corp,unanimous,3,false,true,74,411,62,2,215,1,73,1,93,468674
M_C-Corp_unanimous_rofrN_dtN_banktwo_1own,C-Corp,unanimous,1,false,false,74,399,62,2,208,1,73,1,91,455511
M_C-Corp_unanimous_rofrN_dtN_banktwo_2own,C-Corp,unanimous,2,false,false,74,403,62,2,208,1,73,1,92,458888
M_C-Corp_unanimous_rofrN_dtN_banktwo_3own,C-Corp,unanimous,3,false,false,74,409,62,2,215,1,73,1,93,463543
M_C-Corp_unanimous_rofrN_dtN_bankone_1own,C-Corp,unanimous,1,false,false,74,399,62,2,208,1,73,1,91,455511
M_C-Corp_unanimous_rofrN_dtN_bankone_2own,C-Corp,unanimous,2,false,false,74,403,62,2,208,1,73,1,92,458888
M_C-Corp_unanimous_rofrN_dtN_bankone_3own,C-Corp,unanimous,3,false,false,74,409,62,2,215,1,73,1,93,463543
M_C-Corp_majority_rofrY_dtY_banktwo_1own,C-Corp,majority,1,true,true,77,408,65,2,210,1,76,1,91,475561
M_C-Corp_majority_rofrY_dtY_banktwo_2own,C-Corp,majority,2,true,true,77,412,65,2,210,1,76,1,92,478938
M_C-Corp_majority_rofrY_dtY_banktwo_3own,C-Corp,majority,3,true,true,77,418,65,2,217,1,76,1,93,483593
M_C-Corp_majority_rofrY_dtY_bankone_1own,C-Corp,majority,1,true,true,77,408,65,2,210,1,76,1,91,475561
M_C-Corp_majority_rofrY_dtY_bankone_2own,C-Corp,majority,2,true,true,77,412,65,2,210,1,76,1,92,478938
M_C-Corp_majority_rofrY_dtY_bankone_3own,C-Corp,majority,3,true,true,77,418,65,2,217,1,76,1,93,483593
M_C-Corp_majority_rofrY_dtN_banktwo_1own,C-Corp,majority,1,true,false,77,406,65,2,210,1,76,1,91,470430
M_C-Corp_majority_rofrY_dtN_banktwo_2own,C-Corp,majority,2,true,false,77,410,65,2,210,1,76,1,92,473807
M_C-Corp_majority_rofrY_dtN_banktwo_3own,C-Corp,majority,3,true,false,77,416,65,2,217,1,76,1,93,478462
M_C-Corp_majority_rofrY_dtN_bankone_1own,C-Corp,majority,1,true,false,77,406,65,2,210,1,76,1,91,470430
M_C-Corp_majority_rofrY_dtN_bankone_2own,C-Corp,majority,2,true,false,77,410,65,2,210,1,76,1,92,473807
M_C-Corp_majority_rofrY_dtN_bankone_3own,C-Corp,majority,3,true,false,77,416,65,2,217,1,76,1,93,478462
M_C-Corp_majority_rofrN_dtY_banktwo_1own,C-Corp,majority,1,false,true,74,401,62,2,208,1,73,1,91,460636
M_C-Corp_majority_rofrN_dtY_banktwo_2own,C-Corp,majority,2,false,true,74,405,62,2,208,1,73,1,92,464013
M_C-Corp_majority_rofrN_dtY_banktwo_3own,C-Corp,majority,3,false,true,74,411,62,2,215,1,73,1,93,468668
M_C-Corp_majority_rofrN_dtY_bankone_1own,C-Corp,majority,1,false,true,74,401,62,2,208,1,73,1,91,460636
M_C-Corp_majority_rofrN_dtY_bankone_2own,C-Corp,majority,2,false,true,74,405,62,2,208,1,73,1,92,464013
M_C-Corp_majority_rofrN_dtY_bankone_3own,C-Corp,majority,3,false,true,74,411,62,2,215,1,73,1,93,468668
M_C-Corp_majority_rofrN_dtN_banktwo_1own,C-Corp,majority,1,false,false,74,399,62,2,208,1,73,1,91,455505
M_C-Corp_majority_rofrN_dtN_banktwo_2own,C-Corp,majority,2,false,false,74,403,62,2,208,1,73,1,92,458882
M_C-Corp_majority_rofrN_dtN_banktwo_3own,C-Corp,majority,3,false,false,74,409,62,2,215,1,73,1,93,463537
M_C-Corp_majority_rofrN_dtN_bankone_1own,C-Corp,majority,1,false,false,74,399,62,2,208,1,73,1,91,455505
M_C-Corp_majority_rofrN_dtN_bankone_2own,C-Corp,majority,2,false,false,74,403,62,2,208,1,73,1,92,458882
M_C-Corp_majority_rofrN_dtN_bankone_3own,C-Corp,majority,3,false,false,74,409,62,2,215,1,73,1,93,463537
M_C-Corp_mixed_rofrY_dtY_banktwo_1own,C-Corp,mixed,1,true,true,77,408,65,2,210,1,76,1,91,475574
M_C-Corp_mixed_rofrY_dtY_banktwo_2own,C-Corp,mixed,2,true,true,77,412,65,2,210,1,76,1,92,478951
M_C-Corp_mixed_rofrY_dtY_banktwo_3own,C-Corp,mixed,3,true,true,77,418,65,2,217,1,76,1,93,483606
M_C-Corp_mixed_rofrY_dtY_bankone_1own,C-Corp,mixed,1,true,true,77,408,65,2,210,1,76,1,91,475574
M_C-Corp_mixed_rofrY_dtY_bankone_2own,C-Corp,mixed,2,true,true,77,412,65,2,210,1,76,1,92,478951
M_C-Corp_mixed_rofrY_dtY_bankone_3own,C-Corp,mixed,3,true,true,77,418,65,2,217,1,76,1,93,483606
M_C-Corp_mixed_rofrY_dtN_banktwo_1own,C-Corp,mixed,1,true,false,77,406,65,2,210,1,76,1,91,470443
M_C-Corp_mixed_rofrY_dtN_banktwo_2own,C-Corp,mixed,2,true,false,77,410,65,2,210,1,76,1,92,473820
M_C-Corp_mixed_rofrY_dtN_banktwo_3own,C-Corp,mixed,3,true,false,77,416,65,2,217,1,76,1,93,478475
M_C-Corp_mixed_rofrY_dtN_bankone_1own,C-Corp,mixed,1,true,false,77,406,65,2,210,1,76,1,91,470443
M_C-Corp_mixed_rofrY_dtN_bankone_2own,C-Corp,mixed,2,true,false,77,410,65,2,210,1,76,1,92,473820
M_C-Corp_mixed_rofrY_dtN_bankone_3own,C-Corp,mixed,3,true,false,77,416,65,2,217,1,76,1,93,478475
M_C-Corp_mixed_rofrN_dtY_banktwo_1own,C-Corp,mixed,1,false,true,74,401,62,2,208,1,73,1,91,460649
M_C-Corp_mixed_rofrN_dtY_banktwo_2own,C-Corp,mixed,2,false,true,74,405,62,2,208,1,73,1,92,464026
M_C-Corp_mixed_rofrN_dtY_banktwo_3own,C-Corp,mixed,3,false,true,74,411,62,2,215,1,73,1,93,468681
M_C-Corp_mixed_rofrN_dtY_bankone_1own,C-Corp,mixed,1,false,true,74,401,62,2,208,1,73,1,91,460649
M_C-Corp_mixed_rofrN_dtY_bankone_2own,C-Corp,mixed,2,false,true,74,405,62,2,208,1,73,1,92,464026
M_C-Corp_mixed_rofrN_dtY_bankone_3own,C-Corp,mixed,3,false,true,74,411,62,2,215,1,73,1,93,468681
M_C-Corp_mixed_rofrN_dtN_banktwo_1own,C-Corp,mixed,1,false,false,74,399,62,2,208,1,73,1,91,455518
M_C-Corp_mixed_rofrN_dtN_banktwo_2own,C-Corp,mixed,2,false,false,74,403,62,2,208,1,73,1,92,458895
M_C-Corp_mixed_rofrN_dtN_banktwo_3own,C-Corp,mixed,3,false,false,74,409,62,2,215,1,73,1,93,463550
M_C-Corp_mixed_rofrN_dtN_bankone_1own,C-Corp,mixed,1,false,false,74,399,62,2,208,1,73,1,91,455518
M_C-Corp_mixed_rofrN_dtN_bankone_2own,C-Corp,mixed,2,false,false,74,403,62,2,208,1,73,1,92,458895
M_C-Corp_mixed_rofrN_dtN_bankone_3own,C-Corp,mixed,3,false,false,74,409,62,2,215,1,73,1,93,463550
M_LLC_unanimous_rofrY_dtY_banktwo_1own,LLC,unanimous,1,true,true,72,301,7,1,213,0,65,3,9,282719
M_LLC_unanimous_rofrY_dtY_banktwo_2own,LLC,unanimous,2,true,true,72,300,7,1,207,0,65,3,9,281923
M_LLC_unanimous_rofrY_dtY_banktwo_3own,LLC,unanimous,3,true,true,72,306,7,1,205,0,65,3,9,283269
M_LLC_unanimous_rofrY_dtY_bankone_1own,LLC,unanimous,1,true,true,72,301,7,1,213,0,65,3,9,282713
M_LLC_unanimous_rofrY_dtY_bankone_2own,LLC,unanimous,2,true,true,72,300,7,1,207,0,65,3,9,281917
M_LLC_unanimous_rofrY_dtY_bankone_3own,LLC,unanimous,3,true,true,72,306,7,1,205,0,65,3,9,283263
M_LLC_unanimous_rofrY_dtN_banktwo_1own,LLC,unanimous,1,true,false,72,301,7,1,213,0,65,3,9,282719
M_LLC_unanimous_rofrY_dtN_banktwo_2own,LLC,unanimous,2,true,false,72,300,7,1,207,0,65,3,9,281923
M_LLC_unanimous_rofrY_dtN_banktwo_3own,LLC,unanimous,3,true,false,72,306,7,1,205,0,65,3,9,283269
M_LLC_unanimous_rofrY_dtN_bankone_1own,LLC,unanimous,1,true,false,72,301,7,1,213,0,65,3,9,282713
M_LLC_unanimous_rofrY_dtN_bankone_2own,LLC,unanimous,2,true,false,72,300,7,1,207,0,65,3,9,281917
M_LLC_unanimous_rofrY_dtN_bankone_3own,LLC,unanimous,3,true,false,72,306,7,1,205,0,65,3,9,283263
M_LLC_unanimous_rofrN_dtY_banktwo_1own,LLC,unanimous,1,false,true,68,297,3,1,208,0,64,3,9,272178
M_LLC_unanimous_rofrN_dtY_banktwo_2own,LLC,unanimous,2,false,true,68,296,3,1,202,0,64,3,9,271382
M_LLC_unanimous_rofrN_dtY_banktwo_3own,LLC,unanimous,3,false,true,68,302,3,1,200,0,64,3,9,272728
M_LLC_unanimous_rofrN_dtY_bankone_1own,LLC,unanimous,1,false,true,68,297,3,1,208,0,64,3,9,272172
M_LLC_unanimous_rofrN_dtY_bankone_2own,LLC,unanimous,2,false,true,68,296,3,1,202,0,64,3,9,271376
M_LLC_unanimous_rofrN_dtY_bankone_3own,LLC,unanimous,3,false,true,68,302,3,1,200,0,64,3,9,272722
M_LLC_unanimous_rofrN_dtN_banktwo_1own,LLC,unanimous,1,false,false,68,297,3,1,208,0,64,3,9,272178
M_LLC_unanimous_rofrN_dtN_banktwo_2own,LLC,unanimous,2,false,false,68,296,3,1,202,0,64,3,9,271382
M_LLC_unanimous_rofrN_dtN_banktwo_3own,LLC,unanimous,3,false,false,68,302,3,1,200,0,64,3,9,272728
M_LLC_unanimous_rofrN_dtN_bankone_1own,LLC,unanimous,1,false,false,68,297,3,1,208,0,64,3,9,272172
M_LLC_unanimous_rofrN_dtN_bankone_2own,LLC,unanimous,2,false,false,68,296,3,1,202,0,64,3,9,271376
M_LLC_unanimous_rofrN_dtN_bankone_3own,LLC,unanimous,3,false,false,68,302,3,1,200,0,64,3,9,272722
M_LLC_majority_rofrY_dtY_banktwo_1own,LLC,majority,1,true,true,72,301,7,1,213,0,65,3,9,282714
M_LLC_majority_rofrY_dtY_banktwo_2own,LLC,majority,2,true,true,72,300,7,1,207,0,65,3,9,281918
M_LLC_majority_rofrY_dtY_banktwo_3own,LLC,majority,3,true,true,72,306,7,1,205,0,65,3,9,283264
M_LLC_majority_rofrY_dtY_bankone_1own,LLC,majority,1,true,true,72,301,7,1,213,0,65,3,9,282708
M_LLC_majority_rofrY_dtY_bankone_2own,LLC,majority,2,true,true,72,300,7,1,207,0,65,3,9,281912
M_LLC_majority_rofrY_dtY_bankone_3own,LLC,majority,3,true,true,72,306,7,1,205,0,65,3,9,283258
M_LLC_majority_rofrY_dtN_banktwo_1own,LLC,majority,1,true,false,72,301,7,1,213,0,65,3,9,282714
M_LLC_majority_rofrY_dtN_banktwo_2own,LLC,majority,2,true,false,72,300,7,1,207,0,65,3,9,281918
M_LLC_majority_rofrY_dtN_banktwo_3own,LLC,majority,3,true,false,72,306,7,1,205,0,65,3,9,283264
M_LLC_majority_rofrY_dtN_bankone_1own,LLC,majority,1,true,false,72,301,7,1,213,0,65,3,9,282708
M_LLC_majority_rofrY_dtN_bankone_2own,LLC,majority,2,true,false,72,300,7,1,207,0,65,3,9,281912
M_LLC_majority_rofrY_dtN_bankone_3own,LLC,majority,3,true,false,72,306,7,1,205,0,65,3,9,283258
M_LLC_majority_rofrN_dtY_banktwo_1own,LLC,majority,1,false,true,68,297,3,1,208,0,64,3,9,272173
M_LLC_majority_rofrN_dtY_banktwo_2own,LLC,majority,2,false,true,68,296,3,1,202,0,64,3,9,271377
M_LLC_majority_rofrN_dtY_banktwo_3own,LLC,majority,3,false,true,68,302,3,1,200,0,64,3,9,272723
M_LLC_majority_rofrN_dtY_bankone_1own,LLC,majority,1,false,true,68,297,3,1,208,0,64,3,9,272167
M_LLC_majority_rofrN_dtY_bankone_2own,LLC,majority,2,false,true,68,296,3,1,202,0,64,3,9,271371
M_LLC_majority_rofrN_dtY_bankone_3own,LLC,majority,3,false,true,68,302,3,1,200,0,64,3,9,272717
M_LLC_majority_rofrN_dtN_banktwo_1own,LLC,majority,1,false,false,68,297,3,1,208,0,64,3,9,272173
M_LLC_majority_rofrN_dtN_banktwo_2own,LLC,majority,2,false,false,68,296,3,1,202,0,64,3,9,271377
M_LLC_majority_rofrN_dtN_banktwo_3own,LLC,majority,3,false,false,68,302,3,1,200,0,64,3,9,272723
M_LLC_majority_rofrN_dtN_bankone_1own,LLC,majority,1,false,false,68,297,3,1,208,0,64,3,9,272167
M_LLC_majority_rofrN_dtN_bankone_2own,LLC,majority,2,false,false,68,296,3,1,202,0,64,3,9,271371
M_LLC_majority_rofrN_dtN_bankone_3own,LLC,majority,3,false,false,68,302,3,1,200,0,64,3,9,272717
M_LLC_mixed_rofrY_dtY_banktwo_1own,LLC,mixed,1,true,true,72,301,7,1,213,0,65,3,9,282726
M_LLC_mixed_rofrY_dtY_banktwo_2own,LLC,mixed,2,true,true,72,300,7,1,207,0,65,3,9,281930
M_LLC_mixed_rofrY_dtY_banktwo_3own,LLC,mixed,3,true,true,72,306,7,1,205,0,65,3,9,283276
M_LLC_mixed_rofrY_dtY_bankone_1own,LLC,mixed,1,true,true,72,301,7,1,213,0,65,3,9,282720
M_LLC_mixed_rofrY_dtY_bankone_2own,LLC,mixed,2,true,true,72,300,7,1,207,0,65,3,9,281924
M_LLC_mixed_rofrY_dtY_bankone_3own,LLC,mixed,3,true,true,72,306,7,1,205,0,65,3,9,283270
M_LLC_mixed_rofrY_dtN_banktwo_1own,LLC,mixed,1,true,false,72,301,7,1,213,0,65,3,9,282726
M_LLC_mixed_rofrY_dtN_banktwo_2own,LLC,mixed,2,true,false,72,300,7,1,207,0,65,3,9,281930
M_LLC_mixed_rofrY_dtN_banktwo_3own,LLC,mixed,3,true,false,72,306,7,1,205,0,65,3,9,283276
M_LLC_mixed_rofrY_dtN_bankone_1own,LLC,mixed,1,true,false,72,301,7,1,213,0,65,3,9,282720
M_LLC_mixed_rofrY_dtN_bankone_2own,LLC,mixed,2,true,false,72,300,7,1,207,0,65,3,9,281924
M_LLC_mixed_rofrY_dtN_bankone_3own,LLC,mixed,3,true,false,72,306,7,1,205,0,65,3,9,283270
M_LLC_mixed_rofrN_dtY_banktwo_1own,LLC,mixed,1,false,true,68,297,3,1,208,0,64,3,9,272185
M_LLC_mixed_rofrN_dtY_banktwo_2own,LLC,mixed,2,false,true,68,296,3,1,202,0,64,3,9,271389
M_LLC_mixed_rofrN_dtY_banktwo_3own,LLC,mixed,3,false,true,68,302,3,1,200,0,64,3,9,272735
M_LLC_mixed_rofrN_dtY_bankone_1own,LLC,mixed,1,false,true,68,297,3,1,208,0,64,3,9,272179
M_LLC_mixed_rofrN_dtY_bankone_2own,LLC,mixed,2,false,true,68,296,3,1,202,0,64,3,9,271383
M_LLC_mixed_rofrN_dtY_bankone_3own,LLC,mixed,3,false,true,68,302,3,1,200,0,64,3,9,272729
M_LLC_mixed_rofrN_dtN_banktwo_1own,LLC,mixed,1,false,false,68,297,3,1,208,0,64,3,9,272185
M_LLC_mixed_rofrN_dtN_banktwo_2own,LLC,mixed,2,false,false,68,296,3,1,202,0,64,3,9,271389
M_LLC_mixed_rofrN_dtN_banktwo_3own,LLC,mixed,3,false,false,68,302,3,1,200,0,64,3,9,272735
M_LLC_mixed_rofrN_dtN_bankone_1own,LLC,mixed,1,false,false,68,297,3,1,208,0,64,3,9,272179
M_LLC_mixed_rofrN_dtN_bankone_2own,LLC,mixed,2,false,false,68,296,3,1,202,0,64,3,9,271383
M_LLC_mixed_rofrN_dtN_bankone_3own,LLC,mixed,3,false,false,68,302,3,1,200,0,64,3,9,272729
A_C-Corp_1own_RESP,C-Corp,majority,1,true,true,78,412,66,2,217,1,77,1,91,478422
A_C-Corp_2own_RESP,C-Corp,majority,2,true,true,78,418,66,2,224,1,77,1,92,483255
A_C-Corp_3own_RESP,C-Corp,majority,3,true,true,78,426,66,2,238,1,77,1,93,489368
A_C-Corp_4own_RESP,C-Corp,majority,4,true,true,78,435,66,2,238,1,77,1,93,492021
A_C-Corp_5own_RESP,C-Corp,majority,5,true,true,78,443,66,2,238,1,77,1,93,494645
A_C-Corp_6own_RESP,C-Corp,majority,6,true,true,78,451,66,2,238,1,77,1,93,497265
A_LLC_1own_RESP,LLC,majority,1,true,true,72,305,7,1,218,0,65,3,9,284859
A_LLC_2own_RESP,LLC,majority,2,true,true,72,306,7,1,217,0,65,3,9,285400
A_LLC_3own_RESP,LLC,majority,3,true,true,72,314,7,1,215,0,65,3,9,287374
A_LLC_4own_RESP,LLC,majority,4,true,true,72,320,7,1,215,0,65,3,9,289183
A_LLC_5own_RESP,LLC,majority,5,true,true,72,326,7,1,215,0,65,3,9,290998
A_LLC_6own_RESP,LLC,majority,6,true,true,72,332,7,1,215,0,65,3,9,292807
B_C-Corp_MAJ50.01_SUP75,C-Corp,mixed,2,true,true,77,412,65,2,210,1,76,1,92,478951
B_C-Corp_MAJ51_SUP67,C-Corp,mixed,2,true,true,77,412,65,2,210,1,76,1,92,478954
B_C-Corp_MAJ60_SUP80,C-Corp,mixed,2,true,true,77,412,65,2,210,1,76,1,92,478945
B_C-Corp_MAJ65_SUP90,C-Corp,mixed,2,true,true,77,412,65,2,210,1,76,1,92,478950
B_LLC_MAJ50.01_SUP75,LLC,mixed,2,true,true,72,300,7,1,207,0,65,3,9,281930
B_LLC_MAJ51_SUP67,LLC,mixed,2,true,true,72,300,7,1,207,0,65,3,9,281908
B_LLC_MAJ60_SUP80,LLC,mixed,2,true,true,72,300,7,1,207,0,65,3,9,281903
B_LLC_MAJ65_SUP90,LLC,mixed,2,true,true,72,300,7,1,207,0,65,3,9,281903
C_C-Corp_2own_rofrY_dtY_SUP80,C-Corp,mixed,2,true,true,78,418,66,2,224,1,77,1,92,483166
C_C-Corp_2own_rofrY_dtN_SUP80,C-Corp,mixed,2,true,false,78,416,66,2,224,1,77,1,92,478035
C_C-Corp_2own_rofrN_dtY_SUP80,C-Corp,mixed,2,false,true,75,411,63,2,222,1,74,1,92,468241
C_C-Corp_2own_rofrN_dtN_SUP80,C-Corp,mixed,2,false,false,75,409,63,2,222,1,74,1,92,463110
C_C-Corp_6own_rofrY_dtY_SUP80,C-Corp,mixed,6,true,true,78,451,66,2,238,1,77,1,93,496979
C_C-Corp_6own_rofrY_dtN_SUP80,C-Corp,mixed,6,true,false,78,449,66,2,238,1,77,1,93,491848
C_C-Corp_6own_rofrN_dtY_SUP80,C-Corp,mixed,6,false,true,75,444,63,2,236,1,74,1,93,482054
C_C-Corp_6own_rofrN_dtN_SUP80,C-Corp,mixed,6,false,false,75,442,63,2,236,1,74,1,93,476923
C_LLC_2own_rofrY_dtY_SUP80,LLC,mixed,2,true,true,72,306,7,1,217,0,65,3,9,285303
C_LLC_2own_rofrY_dtN_SUP80,LLC,mixed,2,true,false,72,306,7,1,217,0,65,3,9,285303
C_LLC_2own_rofrN_dtY_SUP80,LLC,mixed,2,false,true,68,302,3,1,212,0,64,3,9,274762
C_LLC_2own_rofrN_dtN_SUP80,LLC,mixed,2,false,false,68,302,3,1,212,0,64,3,9,274762
C_LLC_6own_rofrY_dtY_SUP80,LLC,mixed,6,true,true,72,332,7,1,215,0,65,3,9,292498
C_LLC_6own_rofrY_dtN_SUP80,LLC,mixed,6,true,false,72,332,7,1,215,0,65,3,9,292498
C_LLC_6own_rofrN_dtY_SUP80,LLC,mixed,6,false,true,68,328,3,1,210,0,64,3,9,281957
C_LLC_6own_rofrN_dtN_SUP80,LLC,mixed,6,false,false,68,328,3,1,210,0,64,3,9,281957
